MONSTER ΔΙΑΦΟΡΑ,1.05
MONSTER DOCTOR (ΚΙΤΡΙΝΟ),1.05
MONSTER PUNCH (ΡΟΖ),1.05
MONSTER ΠΡΑΣΙΝΟ,1.05
MONSTER ΛΑΧΑΝΙ,1.05
MONSTER ΓΑΛΑΖΙΟ,1.05
MONSTER ULTRA BLUE (ΓΑΛΑΖΙΟ),1.05
MONSTER NITRO,1.05
MONSTER ΑΣΠΡΟ,1.05
MONSTER PUNCH (ΜΟΒ),1.05
MONSTER RED (ΚΟΚΚΙΝΟ),1.05
MONSTER KHAOTIC,1.05
MONSTER REHUB (ΚΟΚΚΙΝΟ),1.05
MONSTER ΜΠΛΕ,1.05
MONSTER MANGO LOCO,1.05
MONSTER ΚΑΡΠΟΥΖΙ,1.05
MONSTER ΧΡΥΣΟ,1.05
MONSTER REHUB ΚΙΤΡΙΝΟ,1.05
MONSTER REHUB ΚΟΚΚΙΝΟ,1.05
MONSTER ΚΡΕΜ,1.05
MONSTER ΠΕΤΑΛΟΥΔΑ,1.05
MONSTER NITRO,1.05
MONSTER RIPPER (ΚΙΤΡΙΝΟ),1.05
MONSTER FIESTA,1.05
MONSTER HAMILTON,1.05
REDBULL ΜΕΓΑΛΟ,1.32
REDBULL ΜΙΚΡΟ,1.1
REDBULL LIGHT,1.1
REDBULL ZERO ΜΑΥΡΟ,1.1
GORDONS SPACE,2.1
LUCOZADE ΚΙΤΡΙΝΟ,1
LUCOZADE ΠΟΡΤΟΚΑΛΙ,1
LUCOZADE ΡΟΖ,1
HELL ΜΕΓΑΛΑ ΔΙΑΦΟΡΑ,0.9
HELL ΜΕΓΑΛΑ ΔΙΑΦΟΡΑ,0.9
HELL ΜΕΓΑΛΟ ΚΟΚΚΙΝΟ,0.9
HELL ΜΕΓΑΛΟ ΜΗΛΟ,0.9
HELL ΜΕΓΑΛΟ ΚΑΡΠΟΥΖΙ,0.9
HELL ΜΕΓΑΛΟ BLACK CHERRY,0.9
HELL ΜΕΓΑΛΟ ΣΤΑΦΥΛΙ,0.9
HELL ΜΙΚΡΑ ΔΙΑΦΟΡΑ,0.52
HELL ΜΙΚΡΟ ΚΟΚΚΙΝΟ,0.52
HELL ΜΙΚΡΟ ΜΗΛΟ,0.52
HELL ΜΙΚΡΟ ΣΤΑΦΥΛΙ ΚΑΡΠΟΥΖΙ,0.52
HELL ΜΙΚΡΟ FOCUS,0.52
HELL ΜΙΚΡΟ MULTI VITAMIN,0.52
HELL ΜΙΚΡΟ ΜΟΒ,0.52
HELL ΜΙΚΡΟ ΝΕΟ ΜΠΛΕ,0.52
HELL ΜΙΚΡΟ ΝΕΟ ΠΡΑΣΙΝΟ,0.52
HELL ΜΙΚΡΟ ΚΙΤΡΙΝΟ,0.52
HELL ΜΙΚΡΟ ΚΟΚΚΙΝΟ ΒΑΤΟΜΟΥΡΟ,0.52
HELL ΜΙΚΡΟ ΜΟΒ BLACK CHERRY,0.52
HELL ΜΙΚΡΟ ΜΑΥΡΟ,0.52
HELL ΜΙΚΡΟ ΑΣΠΡΟ,0.52
HELL ΜΙΚΡΟ ΦΡΑΟΥΛΑ,0.52
HELL ΜΙΚΡΟ AI,0.52
SMOOTHIE,1.35
MOTION ΜΙΚΡΟ,1
MOTION ΜΕΓΑΛΟ,1.9
FUSETEA ΔΙΑΦΟΡΑ,0.85
FUSETEA ΡΟΔΑΚΙΝΟ,0.85
FUSETEA ΛΕΜΟΝΙ,0.85
FUSETEA FOREST FRUIT,0.85
FUSETEA ΚΕΡΑΣΙ,0.85
ALOE ΔΙΑΦΟΡΑ,1
ALOE ΡΟΔΙ,1 
ALOE ΦΡΑΟΥΛΑ,1 
ALOE ΑΝΑΝΑ,1
ALOE ΜΑΝΓΚΟ,1
ALOE ΠΡΑΣΙΝΟ,1
ΝΕΡΑ MAX ΔΙΑΦΟΡΑ,0.95
ΝΕΡΑ MAX ΣΥΚΟ,0.95
ΝΕΡΑ MAX ΚΕΡΑΣΙ,0.95
ΝΕΡΑ MAX ΡΟΖ,0.95
ΝΕΡΑ MAX MOJITO,0.95
ΝΕΡΑ ΜΑΧ ΒΑΤΟΜΟΥΡΟ,0.95
ΝΕΡΑ MAX ΓΑΛΑΖΙΟ,0.95
ΝΕΡΑ MAX ΒΑΤΟΜΟΥΡΟ ΛΕΜΟΝΙ,0.95
JACOBS ESPRESSO,1.35
NESCAFE ΚΟΥΤΑΚΙ,2.34
NESCAFE ΦΑΚΕΛΑΚΙ,0.15
ΡΟΛΟ ΤΑΜΕΙΑΚΗΣ,0.3
ΣΠΙΡΤΑ,4.5
BIC ΣΤΥΛΟ,0.2
ROYAL ΤΡΑΠΟΥΛΑ,1
MODIANO ΤΡΑΠΟΥΛΑ ΑΠΛΗ,1.3
MODIANO ΤΡΑΠΟΥΛΑ ΧΡΥΣΗ,3
ΥΠΕΥΘΥΝΗ ΔΗΛΩΣΗ,0.055
TICHU,1
ΦΑΚΕΛΟΣ ΓΙΑ ΓΑΜΟ,0.05
ΦΑΚΕΛΟΣ ΓΡΑΜΜΑ,0.05
ΚΑΡΤΕΣ,0.05
ΜΠΑΤΑΡΙΕΣ ENERGIZER 9V,1.8
ΜΠΑΤΑΡΙΕΣ PANASONIC 9V,1.8
ΜΠΑΤΑΡΙΕΣ ENERGIZER AA,1.5
ΜΠΑΤΑΡΙΕΣ PANASONIC AA,1
ΜΠΑΤΑΡΙΕΣ ENERGIZER AAA,1.5
ΜΠΑΤΑΡΙΕΣ ENERGIZER C,2
ΜΠΑΤΑΡΙΕΣ ENERGIZER D,2.2
ΜΠΑΤΑΡΙΕΣ PANASONIC AAA,1
ΜΠΑΤΑΡΙΕΣ ΣΤΡΟΓΓΥΛΕΣ,1
GILETTE ΞΥΡΑΦΑΚΙ,2
BIC ΞΥΡΑΦΑΚΙ,1.1
LOGO,2.3
ΣΕΛΟΤΕΪΠ,0.5
ASTOR ΛΕΠΙΔΕΣ,1
LIPTON ΜΠΟΥΚΑΛΙ ΔΙΑΦΟΡΑ,0.8
LIPTON ΜΠΟΥΚΑΛΙ ΛΕΜΟΝΙ,0.8
LIPTON ΜΠΟΥΚΑΛΙ ΡΟΔΑΚΙΝΟ,0.8
LIPTON ΜΠΟΥΚΑΛΙ ΠΡΑΣΙΝΟ,0.8
LIPTON ΚΟΥΤΑΚΙ ΔΙΑΦΟΡΑ,0.55
LIPTON ΚΟΥΤΑΚΙ ΡΟΔΑΚΙΝΟ,0.55
LIPTON ΚΟΥΤΑΚΙ ΛΕΜΟΝΙ,0.55
LIPTON ΚΟΥΤΑΚΙ ΠΡΑΣΙΝΟ,0.55
POWERADE ΔΙΑΦΟΡΑ,1.1
POWERADE ΜΠΛΕ,1.1
POWERADE ΚΟΚΚΙΝΟ,1.1
POWERADE ΠΡΑΣΙΝΟ,1.1
POWERADE ΠΟΡΤΟΚΑΛΙ,1.1
UHU ΚΟΛΛΑ,0.5
SCHWEPPES ΔΙΑΦΟΡΑ,0.7
SCHWEPPES ΠΟΡΤΟΚΑΛΙ,0.7
SCHWEPPES ΛΕΜΟΝΙ,0.7
SCHWEPPES ΠΡΑΣΙΝΟ,0.7
